month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Mar15,11,70,7007.33207179699,5801.589295538374,11983.048,9166.944000000001,1408.052,0.11750366017060099,-3.75,8143.9213338424615,6742.607079274698,9166.944000000001
Mar15,12,71,6528.48032351214,5270.889599480644,11961.98,9091.596000000001,1435.192,0.11997946828200683,-5.78,7587.399831985808,6125.827892516404,9091.596000000001
Mar15,13,72,6647.979769157038,5008.304090602023,11497.172,8662.338000000002,1417.417,0.12328396931001814,-4.86,7726.2820877143095,5820.651014097671,8662.338000000002
Mar15,14,73,6158.483512266966,5255.624929889729,12093.888,9222.448000000002,1435.72,0.118714510999275,-5.69,7157.389537956667,6108.087293517843,9222.448000000002
Mar15,15,74,6158.197575066159,5181.642186219194,12180.708,9326.282000000001,1427.213,0.1171699543244941,-10.25,7157.0572217418885,6022.104548823946,9326.282000000001
Mar15,16,75,6524.771384518258,5061.5095630314645,12203.744,9292.414,1455.665,0.11928019794581073,-7.15,7583.089303087118,5882.486414155168,9292.414
Mar15,17,76,6373.260315089471,5224.198021576536,12253.632,9426.37,1413.631,0.11536424465823684,-5.65,7407.003138196983,6071.56294067625,9426.37
Mar15,18,77,6466.164622054743,4927.446488095321,12262.6,9447.640000000001,1407.48,0.11477826888261869,-8.52,7514.976523752021,5726.678308464381,9447.640000000001
Mar15,19,78,6714.577057488409,4867.5438147943205,12411.192,9570.897999999997,1420.147,0.11442470634569187,-9.13,7803.6814562130285,5657.059421553959,9570.897999999997
Mar15,20,79,6469.086380079461,4810.4880393748745,12467.444,9515.189999999999,1476.127,0.11839852659454496,-10.11,7518.3721909283495,5590.7491993614785,9515.189999999999
Mar15,21,80,6151.513380452251,4716.383211183826,12341.576,9396.711999999998,1472.432,0.11930664284691032,-5.72,7149.288850761605,5481.380568037842,9396.711999999998
Mar15,22,81,5870.649086826663,4700.326357884786,12286.7,9371.57,1457.565,0.11862949368015822,0.75,6822.868368709947,5462.719293133699,9371.57
Mar15,23,82,5914.939686556444,4888.614447369697,12411.964,9463.703999999998,1474.13,0.11876686074822648,0.16,6874.3429037158985,5681.547710733061,9463.703999999998
Mar15,24,83,6350.744813908987,4827.708199291591,12026.844,9176.105999999998,1425.369,0.11851563053449433,0.8,7380.835622725024,5610.762469216686,9176.105999999998
Mar15,25,84,6391.248001441152,5019.562256351949,12216.028,9393.316,1411.356,0.11553313401049833,-6.88,7427.908427274906,5833.735254332235,9393.316
Mar15,26,85,6331.867998822586,4541.236267995913,11884.388,9035.544,1424.422,0.11985657149530964,-3.09,7358.896988231609,5277.82479066485,9035.544
Mar15,27,86,6050.459615133445,4756.251137009975,12230.264,9331.272,1449.496,0.11851714729951865,-2.74,7031.84416470809,5527.715071432992,9331.272
Mar15,28,87,6836.0582117880385,4624.83772806336,12141.54,9137.146,1502.197,0.12372376156566628,-11.8,7944.866853740058,5374.986407555237,9137.146
Mar15,29,88,8425.916360495037,6349.3629488925535,12323.244,9189.94,1566.652,0.12712983691631846,-14.55,9792.59999416733,7379.229619202925,9189.94
Mar15,30,89,7789.248595117969,5678.157705014245,12070.236,9067.194,1501.521,0.12439864473238137,-14.77,9052.664717246102,6599.154884767555,9067.194
Mar15,31,90,7229.504997447818,5165.563967814772,11089.872,7314.166,1887.853,0.17023217220180722,-14.07,8402.130708033854,6003.418443394327,7314.166
