month,day,t (day N),DemHeat,DemSteam,GenE,DemE (F - F*OwnUse%),OwnUse,Temp.Out(Deg.C),Heat load (MW),Steam load (MW),Electricity load (MW)
May19,10,130,890.952,1776.073315076547,5872.145913043479,4873.881107826087,0.17,16,43.144350599999996,86.00635028258178,203.0783794927536
May19,11,131,964.6368,2082.9723076073205,6109.8395652173895,5071.166839130433,0.17,13,46.712537039999994,100.86793399588448,211.29861829710137
May19,12,132,941.1120000000001,2229.64478290096,6097.1471304347815,5060.632118260868,0.17,14,45.5733486,107.97054861197897,210.85967159420284
May19,13,133,1302.386616,2085.505880274933,6048.017826086956,5019.854795652173,0.17,9,63.068071879799994,100.99062225231363,209.16061648550723
May19,14,134,1023.384,2151.0864493295794,6201.043043478261,5146.865726086957,0.17,4,49.5573702,104.16636130878487,214.45273858695654
May19,15,135,1082.7168,1860.8009682326483,5379.944869565217,4465.35424173913,0.17,4,52.43056103999999,90.10928688666598,186.05642673913042
May19,16,136,1155.1704,1729.9976839444664,5453.006173913043,4525.995124347826,0.17,4,55.939126619999996,83.77513784501078,188.58313018115942
May19,17,137,1860.713064,2150.286855920551,4436.160086956521,3682.0128721739125,0.17,7,90.10503012419998,104.12764099795267,153.41720300724634
May19,18,138,1766.0267039999999,1785.42042466667,3831.5690434782605,3180.202306086956,0.17,15,85.51984314119998,86.45898406448349,132.50842942028984
May19,19,139,1712.484504,1462.1914863864022,3782.3474782608705,3139.3484069565225,0.17,15,82.9270621062,70.80662272826152,130.80618362318845
May19,20,140,1746.62748,1770.9156920037367,3835.833565217391,3183.7418591304345,0.17,13,84.580435719,85.75659238528094,132.65591079710143
May19,21,141,1407.8839679999999,2342.5889020914465,3997.8244347826076,3318.194280869564,0.17,10,68.17678115039999,113.43986758377828,138.25809503623182
May19,22,142,1562.1020160000003,2090.936246173007,3970.3251304347827,3295.3698582608695,0.17,9,75.64479012480001,101.25358772092785,137.30707742753623
May19,23,143,1458.43812,1958.921363545069,3757.83452173913,3119.002653043478,0.17,9,70.624865961,94.86076702966996,129.95844387681157
May19,24,144,1535.976024,1850.8714698429317,3733.779217391305,3099.0367504347832,0.17,14,74.37963896219999,89.62845092714396,129.12653126811597
May19,25,145,1372.4266320000002,1694.0722999634336,4794.489043478261,3979.4259060869567,0.17,17,66.4597596546,82.03545112572927,165.8094127536232
